analysis,metric,term,estimate_std,se,ci_low,ci_high,z,p_value,n_texts,n_students,converged,aic,p_fdr
exact_deduplicated,mattr50,level_between,0.29292529682135515,0.06249099770242828,0.17044294132459573,0.4154076523181146,4.687479918567097,2.7658983151476264e-06,3394,364,True,8895.86081357584,
exact_deduplicated,mattr50,log_len_z,0.17189968020780486,0.020421904395144914,0.13187274759332082,0.2119266128222889,8.417416754172649,3.848765772253629e-17,3394,364,True,8895.86081357584,
near_deduplicated,mattr50,level_within,0.16684605964335372,0.02932319348215479,0.10937260041833033,0.22431951886837712,5.689900717835907,1.271132563390776e-08,3356,364,True,8806.663622958145,3.17783140847694e-08
near_deduplicated,mattr50,level_between,0.2936953728793997,0.06246085909413723,0.17127208905489072,0.41611865670390863,4.702070658950748,2.575363403887043e-06,3356,364,True,8806.663622958145,
near_deduplicated,mattr50,log_len_z,0.17174596020881283,0.020518705015674706,0.1315292983780904,0.21196262203953525,8.370214400841192,5.751349337676503e-17,3356,364,True,8806.663622958145,
primary,mtld,level_within,0.17022269606258808,0.02904177221705905,0.11330082251715234,0.22714456960802382,5.861305391087662,4.5924247811386835e-09,3435,364,True,9034.094675414526,2.2962123905693417e-08
primary,mtld,level_between,0.3284160267720612,0.06553173758672232,0.19997382110208548,0.45685823244203694,5.011556825232161,5.399143436948267e-07,3435,364,True,9034.094675414526,
primary,mtld,log_len_z,0.09465724733844653,0.020386398169383084,0.05469990692645569,0.1346145877504374,4.643156998699539,3.431254128211166e-06,3435,364,True,9034.094675414526,
paragraph_only,mtld,level_within,0.2349323289723733,0.04048426389115053,0.15558317174571826,0.3142814861990283,5.80305299866715,6.511819727323982e-09,1576,234,True,4214.527940023781,1.6279549318309955e-08
paragraph_only,mtld,level_between,0.3256391296899128,0.07762511923183323,0.1734938959955197,0.47778436338430597,4.195022602379098,2.7284437897667927e-05,1576,234,True,4214.527940023781,
paragraph_only,mtld,log_len_z,0.07296869797521939,0.026687154935092515,0.020661874302438064,0.1252755216480007,2.7342254411416684,0.0062527217507813235,1576,234,True,4214.527940023781,
min150_words,mtld,level_within,0.13387989496374605,0.033764808795538344,0.06770086972449091,0.2000589202030012,3.9650719118372986,7.337382338476967e-05,2678,321,True,6935.50623187796,0.00018343455846192417
min150_words,mtld,level_between,0.3505972737053414,0.08161882120402708,0.1906243841454483,0.5105701632652344,4.295544441017275,1.7426512086218965e-05,2678,321,True,6935.50623187796,
min150_words,mtld,log_len_z,0.09869949187073053,0.02157218833124391,0.056418002741492466,0.14098098099996859,4.575311987601179,4.755108334503362e-06,2678,321,True,6935.50623187796,
exact_deduplicated,mtld,level_within,0.17011176088768704,0.02921044962191922,0.11285927962872536,0.22736424214664872,5.823661158575146,5.757224423625055e-09,3394,364,True,8936.362430682151,2.8786122118125276e-08
exact_deduplicated,mtld,level_between,0.3315996302322912,0.06570958931173164,0.20280883518129722,0.4603904252832852,5.046441983667796,4.501134864532448e-07,3394,364,True,8936.362430682151,
exact_deduplicated,mtld,log_len_z,0.09159893934594446,0.02050590729381057,0.05140736105007574,0.13179051764181318,4.466953743304611,7.9341276688824e-06,3394,364,True,8936.362430682151,
near_deduplicated,mtld,level_within,0.1739850491368645,0.02936046294507241,0.11643854176452256,0.23153155650920643,5.925827854361695,3.1072796825235157e-09,3356,364,True,8849.486374354277,1.5536398412617577e-08
near_deduplicated,mtld,level_between,0.3302323175853143,0.0656641596654106,0.20153056464110952,0.45893407052951907,5.029110541701917,4.927602666275965e-07,3356,364,True,8849.486374354277,
near_deduplicated,mtld,log_len_z,0.09184866161689711,0.02061246631140195,0.0514482276465493,0.13224909558724493,4.455976312067532,8.351225368535474e-06,3356,364,True,8849.486374354277,
