metric,transition,n_students,mean_low,mean_high,mean_change,standardized_change,ci_low,ci_high,paired_t_p,wilcoxon_p,paired_t_fdr
mattr50,3_to_4,176,0.7066694876223104,0.7313914088247635,0.024721921202453142,0.5041974562854104,0.017082510913876525,0.03236133149102976,1.8646767740896663e-09,2.4464257323681674e-10,2.7970151611344994e-08
mattr50,4_to_5,218,0.7423226709385883,0.7435765696336428,0.0012538986950546148,0.025572953141821283,-0.003375523102778244,0.005883320492887473,0.5960487352204769,0.7374971534658443,0.6669210959621146
mattr50,3_to_5,54,0.6953948673625807,0.7334873087597761,0.038092441397195316,0.7768859021466799,0.025053283709324047,0.051131599085066586,4.924946074824104e-07,3.6891878478181674e-07,2.462473037412052e-06
mtld,3_to_4,176,46.93743202028864,52.09876230761751,5.161330287328865,0.34351530246421463,3.1695533558241555,7.153107218833575,9.656952055985366e-07,2.6878444348430375e-08,3.5483774096510506e-06
mtld,4_to_5,218,55.47945983538729,57.58590153471774,2.1064416993304564,0.14019543745246674,0.40672315326325825,3.8061602453976544,0.015954191179567437,0.07940590213040792,0.023931286769351155
mtld,3_to_5,54,44.50385497837718,54.99855446680318,10.494699488425997,0.6984807536708587,7.159785528578811,13.829613448273182,9.772910217200263e-08,1.2166336420085954e-07,7.329682662900197e-07
lexical_density,3_to_4,176,0.5814442891084901,0.5800881435118366,-0.001356145596653416,-0.028398232978097872,-0.0075217728098881526,0.004809481616581322,0.6669210959621146,0.8074180906665934,0.6669210959621146
lexical_density,4_to_5,218,0.5847103628623028,0.5920409567385755,0.007330593876272778,0.15350557733618814,0.0019812483346566614,0.012679939417888895,0.007792284715363647,0.0014804925721376544,0.012987141192272745
lexical_density,3_to_5,54,0.5807086655544821,0.5927010749075976,0.011992409353115449,0.25112586408045445,-0.0014344093468089143,0.02541922805303981,0.08579978545701974,0.06230595015066995,0.10724973182127467
mean_log_frequency_content,3_to_4,176,2.5990951678092573,2.689438873691486,0.09034370588222819,0.3637320240408524,0.05517256169868129,0.1255148500657751,1.1827924698836835e-06,1.7475933272527723e-06,3.5483774096510506e-06
mean_log_frequency_content,4_to_5,218,2.6557886146439453,2.5923260620211357,-0.06346255262280974,-0.2555060420743101,-0.08950806019342145,-0.03741704505219804,3.293515544113476e-06,5.905102845218079e-07,8.23378886028369e-06
mean_log_frequency_content,3_to_5,54,2.6271068907707393,2.642350191523032,0.015243300752292941,0.061370923204353875,-0.04768691918732719,0.07817352069191306,0.6369072325508913,0.6825504087271621,0.6669210959621146
rare_content_rate,3_to_4,176,0.07336758049528838,0.0565398755169876,-0.016827704978300783,-0.3375363421364061,-0.024394446146758057,-0.00926096380984351,2.2250738899144556e-05,4.400332367843144e-06,4.768015478388119e-05
rare_content_rate,4_to_5,218,0.05769551759010882,0.06920950185756823,0.011513984267459408,0.23095176306370052,0.006068580785452214,0.016959387749466603,4.886555343158562e-05,6.563897495910006e-06,9.162291268422304e-05
rare_content_rate,3_to_5,54,0.07193769976851258,0.06049264248419256,-0.011445057284320022,-0.22956920009427795,-0.024039399611427516,0.0011492850427874696,0.08062007812190736,0.08274808060788312,0.10724973182127467
