analysis,metric,term,estimate_std,se,ci_low,ci_high,z,p_value,n_texts,n_students,converged,aic,learner_intercept_variance,residual_variance,question_intercept_variance,p_fdr
leave_one_text_out_reference,mean_log_frequency_content_loto,level_within,-0.006093035488935759,0.030692138587184063,-0.06624962711981652,0.054063556141945,-0.19852104706317183,0.8426374192639421,3435,364,True,9336.472782217781,0.18624004366065083,0.7822360828274618,,0.8426374192639421
leave_one_text_out_reference,mean_log_frequency_content_loto,level_between,-0.0736313579047867,0.06191293330093303,-0.19498070717461544,0.04771799136504204,-1.18927264432611,0.23433239637890524,3435,364,True,9336.472782217781,0.18624004366065083,0.7822360828274618,,
leave_one_text_out_reference,mean_log_frequency_content_loto,log_len_z,-0.07977417246593933,0.02135577371726734,-0.12163148895178333,-0.037916855980095344,-3.7354850038253327,0.0001873537448632201,3435,364,True,9336.472782217781,0.18624004366065083,0.7822360828274618,,
leave_one_text_out_reference,rare_content_rate_loto,level_within,-0.027181556773523127,0.032406097584532424,-0.09069750803920668,0.036334394492160416,-0.8387790817027289,0.40159329127646914,3435,364,True,9595.928114006849,0.1125580461208491,0.8758040755250118,,0.8031865825529383
leave_one_text_out_reference,rare_content_rate_loto,level_between,-0.03746473246191633,0.055152609176175295,-0.1455638464472199,0.07063438152338725,-0.6792921136739305,0.49695279234666,3435,364,True,9595.928114006849,0.1125580461208491,0.8758040755250118,,
leave_one_text_out_reference,rare_content_rate_loto,log_len_z,0.06775581562075342,0.022183642941159862,0.024275875456080093,0.11123575578542674,3.0543141990010247,0.0022557569447429976,3435,364,True,9595.928114006849,0.1125580461208491,0.8758040755250118,,
