metric,within,between,difference,se,ci_low,ci_high,p,converged,q
mattr50,0.16358673980567864,0.28927861046958897,0.12569187066391033,0.06668720679008004,-0.005015054644646549,0.2563987959724672,0.0594572028349438,True,0.1486430070873595
mtld,0.1702226960625882,0.32841602677206144,0.15819333070947325,0.06965963900477865,0.021660438260107107,0.2947262231588394,0.023150201784154945,True,0.11575100892077472
lexical_density,0.052508430250730743,0.12020968502436226,0.06770125477363151,0.06465424530355074,-0.05902106602132795,0.19442357556859097,0.2950406596283862,True,0.36880082453548274
mean_log_frequency_content,-0.010111489122760296,-0.08125983744432692,-0.07114834832156663,0.06716946488507353,-0.20280049949631074,0.06050380285317747,0.2894920898809893,True,0.36880082453548274
rare_content_rate,-0.0340049716963813,-0.04910957106560742,-0.015104599369226118,0.06125024846827054,-0.13515508636703638,0.10494588762858414,0.8052141640089878,True,0.8052141640089878
