level_id,mattr50_count,mattr50_mean,mattr50_std,mattr50_median,mtld_count,mtld_mean,mtld_std,mtld_median,lexical_density_count,lexical_density_mean,lexical_density_std,lexical_density_median,mean_log_frequency_content_count,mean_log_frequency_content_mean,mean_log_frequency_content_std,mean_log_frequency_content_median,rare_content_rate_count,rare_content_rate_mean,rare_content_rate_std,rare_content_rate_median,text_len_count,text_len_mean,text_len_std,text_len_median
3,631,0.7078204919620613,0.06059240009557902,0.7175294117647059,631,47.11428237150659,14.667856256351069,46.1204153189987,631,0.5815954189461668,0.04863085665642581,0.5755395683453237,631,2.615098789689957,0.26943905611375124,2.649741655642503,631,0.07270700605796954,0.056810039169587406,0.05970149253731343,631,183.10618066561014,80.65413013460923,156.0
4,1668,0.7370585835715971,0.04516405016847634,0.7406553237491327,1668,53.77109291418816,13.915000159023327,52.04207137565662,1668,0.5830971014701953,0.04923222405338416,0.5802708862978873,1668,2.676473686762629,0.24056521167457615,2.70522488612992,1668,0.05592240405662678,0.04436925660864258,0.04672897196261682,1668,331.5227817745803,155.1479355460288,313.0
5,1136,0.7449197669218129,0.04157368710861668,0.7484079153133646,1136,57.10291484874791,15.611375745231603,54.75103255724652,1136,0.5912687520108717,0.04448474833314517,0.5909090909090909,1136,2.585626580612598,0.23712184817180787,2.59864271429651,1136,0.06857077212103097,0.05179162697429204,0.057341819719103765,1136,471.7913732394366,319.4509159699809,409.0
