analysis,metric,term,estimate_std,se,ci_low,ci_high,z,p_value,n_texts,n_students,converged,aic,learner_intercept_variance,residual_variance,question_intercept_variance,p_fdr
question_random_intercept,mattr50,level_within,0.16376198894369592,0.029005044026151384,0.10691210265243922,0.22061187523495263,5.645983119213529,1.642399615329e-08,3435,364,True,8986.135353092715,0.2037216396563286,0.043778615835647426,0.6534273130216253,4.105999038322499e-08
question_random_intercept,mattr50,level_between,0.2900731010312904,0.06242415391892605,0.16772175935019534,0.4124244427123855,4.64680869216146,3.3710952614350635e-06,3435,364,True,8986.135353092715,0.2037216396563286,0.043778615835647426,0.6534273130216253,
question_random_intercept,mattr50,log_len_z,0.17360995188064657,0.020285275933286277,0.13385081105140545,0.2133690927098877,8.55842200281676,1.1442285113489426e-17,3435,364,True,8986.135353092715,0.2037216396563286,0.043778615835647426,0.6534273130216253,
question_random_intercept,mtld,level_within,0.1700776969890413,0.02905139267658379,0.11313696734293707,0.22701842663514551,5.854373278501327,4.788121276134158e-09,3435,364,True,9031.164132224207,0.2353089003168209,0.06840903471670524,0.6303696620966268,2.3940606380670787e-08
question_random_intercept,mtld,level_between,0.3287315821160534,0.06557093035515817,0.20021255861994341,0.4572506056121634,5.013373766934719,5.348385999951887e-07,3435,364,True,9031.164132224207,0.2353089003168209,0.06840903471670524,0.6303696620966268,
question_random_intercept,mtld,log_len_z,0.09496823062657314,0.020398951123892953,0.05498628642374295,0.13495017482940333,4.65554479001317,3.2312514874329103e-06,3435,364,True,9031.164132224207,0.2353089003168209,0.06840903471670524,0.6303696620966268,
question_random_intercept,lexical_density,level_within,0.051894363535348716,0.030554178901951477,-0.007991827112476174,0.1117805541831736,1.698437510033505,0.08942521755801218,3435,364,True,9277.90789795485,0.1666458550011874,0.049139977650030635,0.7261317508674352,0.14904202926335364
question_random_intercept,lexical_density,level_between,0.12005275718757064,0.05972154474126479,0.0029985294946916485,0.23710698488044962,2.0102085052836856,0.04440912560547613,3435,364,True,9277.90789795485,0.1666458550011874,0.049139977650030635,0.7261317508674352,
question_random_intercept,lexical_density,log_len_z,0.012946239115533153,0.02120964366950931,-0.028624662476705094,0.054517140707771396,0.6103939942255837,0.5416008455905128,3435,364,True,9277.90789795485,0.1666458550011874,0.049139977650030635,0.7261317508674352,
question_random_intercept,mean_log_frequency_content,level_within,-0.010347644138837271,0.030578937662819865,-0.07028236195796421,0.04958707368028967,-0.3383912238200054,0.7350683868423915,3435,364,True,9312.146005688293,0.19181337950279756,0.014837264764552853,0.7617200631068612,0.7350683868423915
question_random_intercept,mean_log_frequency_content,level_between,-0.08171891931517535,0.062400036455864914,-0.2040229907686706,0.04058515213831988,-1.3095973008441195,0.19033210204202777,3435,364,True,9312.146005688293,0.19181337950279756,0.014837264764552853,0.7617200631068612,
question_random_intercept,mean_log_frequency_content,log_len_z,-0.07856241461574505,0.021214206089155793,-0.1201422585504904,-0.03698257068099969,-3.7032927032751095,0.0002128190922632315,3435,364,True,9312.146005688293,0.19181337950279756,0.014837264764552853,0.7617200631068612,
question_random_intercept,rare_content_rate,level_within,-0.03285555032584985,0.032436192200152786,-0.0964304870381493,0.030719386386449603,-1.0129287100997968,0.3110942138196029,3435,364,True,9592.987846824573,0.11285671949579877,0.040916734375467945,0.8353863964258621,0.3888677672745036
question_random_intercept,rare_content_rate,level_between,-0.04756614830099687,0.05521550122054646,-0.15578853069326792,0.0606562340912742,-0.8614636696134316,0.3889827222717035,3435,364,True,9592.987846824573,0.11285671949579877,0.040916734375467945,0.8353863964258621,
question_random_intercept,rare_content_rate,log_len_z,0.06114401911447494,0.0222674117469479,0.017499892090457055,0.10478814613849283,2.745897000034397,0.006034570608126608,3435,364,True,9592.987846824573,0.11285671949579877,0.040916734375467945,0.8353863964258621,
